Syear,Smonth,Sday,Shour,Smin,Eyear,Emongh,Eday,Ehour,Emin,Sensor,Good,Bad,Pre Allignment,Rough
2020,1,1,1,1,2021,7,11,8,0,1,0,0,0,0
2021,7,11,8,0,2021,7,13,0,0,1,0,0,0,1
2021,7,13,16,20,2021,7,16,8,38,1,0,0,0,1
2021,7,16,9,11,2021,7,19,11,9,1,1,0,0,0
2021,7,19,12,3,2021,7,21,10,25,1,0,0,0,1
2021,7,21,10,40,2021,7,23,10,15,1,0,0,0,1
2021,7,23,10,30,2021,7,27,15,7,1,0,0,0,1
2021,7,27,15,17,2021,7,30,11,52,1,0,0,0,1
2021,7,30,12,19,2021,8,2,7,59,1,0,0,0,1
2021,8,2,8,0,2021,8,4,16,59,1,0,0,0,1
2021,8,4,17,0,2021,8,6,12,19,1,1,0,0,0
2021,8,6,12,20,2021,8,9,11,42,1,1,0,0,0
2021,8,9,11,50,2021,8,11,8,32,1,1,0,0,0
2021,8,11,8,37,2021,8,13,11,24,1,0,0,0,1
2021,8,13,11,35,2021,8,16,12,25,1,0,0,0,1
2021,8,16,12,59,2021,8,18,16,54,1,1,0,0,0
2021,8,18,16,55,2021,8,26,16,9,1,1,0,0,0
2021,8,26,16,10,2021,9,2,8,25,1,0,0,0,1
2021,9,2,8,30,2021,9,7,11,50,1,0,0,0,1
2021,9,7,12,5,2021,9,9,8,35,1,0,0,0,1
2021,9,9,8,40,2021,9,15,9,20,1,0,0,0,1
2021,9,15,9,30,2021,9,17,8,59,1,1,0,0,0
2021,9,17,9,0,2021,9,20,14,59,1,0,0,0,1
2021,9,20,14,59,2021,9,24,15,4,1,0,0,0,1
2021,9,24,15,5,2021,9,29,8,12,1,1,0,0,0
2021,9,29,8,13,2021,10,2,15,24,1,1,0,0,0
2021,10,2,15,25,2021,10,7,16,49,1,0,0,0,1
2021,10,7,16,50,2021,10,12,13,29,1,1,0,0,0
2021,10,12,14,10,2021,10,19,16,45,1,1,0,0,0
2021,10,19,16,46,2021,10,22,9,46,1,1,0,0,0
2021,10,22,9,47,2021,10,25,16,15,1,1,0,0,0
2021,10,25,16,20,2021,10,28,17,20,1,0,1,0,0
2021,11,1,15,25,2021,11,4,9,29,1,0,0,1,0
2021,11,4,9,30,2021,11,9,11,29,1,0,0,1,0
2021,11,9,11,30,2021,11,12,15,35,1,0,0,1,0
2021,11,12,15,35,2021,11,15,12,0,1,0,0,0,0
2021,11,15,12,0,2021,11,18,15,49,1,0,0,1,0
2021,11,15,1,0,2021,11,18,15,44,2,0,0,1,0
2021,11,18,15,45,2021,11,23,15,43,2,0,0,1,0
2021,11,18,15,50,2021,11,23,15,43,1,0,0,1,0
2021,11,22,16,1,2021,12,13,12,9,4,0,1,0,0
2021,11,22,16,1,2021,12,6,10,1,3,0,1,0,0
2021,11,23,15,43,2021,12,6,16,59,1,0,0,1,0
2021,11,23,15,43,2021,12,9,14,55,2,0,0,1,0
2021,12,6,10,2,2021,12,13,12,9,3,0,1,0,0
2021,12,6,17,0,2021,12,9,14,55,1,0,0,1,0
2021,12,9,14,55,2021,12,14,9,49,1,0,0,1,0
2021,12,9,14,55,2021,12,14,9,49,2,0,0,1,0
2021,12,13,12,9,2021,12,16,9,25,3,0,1,0,0
2021,12,13,12,9,2021,12,16,9,25,4,0,1,0,0
2021,12,14,9,49,2021,12,17,10,15,2,0,0,1,0
2021,12,14,9,49,2021,12,17,10,15,1,0,0,1,0
2021,12,16,9,25,2021,12,23,13,15,3,1,0,0,0
2021,12,16,9,25,2021,12,23,13,15,4,0,1,0,0
2021,12,17,10,15,2021,12,22,10,24,1,0,0,1,0
2021,12,17,10,15,2021,12,22,10,24,2,0,0,1,0
2021,12,22,10,25,2022,1,31,16,57,2,0,0,1,0
2021,12,22,10,25,2022,1,31,16,57,1,0,0,1,0
2021,12,23,13,15,2021,12,28,16,16,3,1,0,0,0
2021,12,23,13,15,2021,12,28,16,16,4,1,0,0,0
2021,12,28,16,16,2022,1,19,15,41,3,0,1,0,0
2021,12,28,16,16,2022,1,19,15,41,4,0,1,0,0
2022,1,19,15,41,2022,2,27,15,25,3,0,0,1,0
2022,1,19,15,41,2022,2,27,15,25,4,0,0,1,0
2022,1,31,16,57,2022,3,21,15,30,1,0,0,1,0
2022,1,31,16,57,2022,3,21,15,30,2,0,0,1,0
2022,2,27,15,25,2022,3,16,9,12,3,0,0,1,0
2022,2,27,15,25,2022,3,16,9,12,4,0,0,1,0
